Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
F,47,1265.93,Low,Working,Laborers,Semi-Urban,95087.32,446.44,N,Y,4.0,743.18,0,Unpossessed,26,1265.93,2,Rural,1,115366.3,61806.76
M,56,3022.38,Low,Working,Laborers,Semi-Urban,98264.43,840.68,Y,Y,2.0,800.34,0,Active,397,3022.38,1,Urban,1,183787.23,0.0
M,18,3904.02,Low,Working,Laborers,Rural,152309.27,478.71,N,Y,3.0,654.54,0,Active,418,3904.02,1,Rural,1,217191.17,106616.49
M,29,1564.41,Low,Commercial associate,Sales staff,Semi-Urban,15408.92,160.9,N,Y,3.0,681.32,0,Inactive,688,1564.41,1,Rural,1,25817.55,0.0
F,31,1546.71,Low,Working,Sales staff,Rural,91339.39,318.38,Y,Y,2.0,720.4,0,Unpossessed,724,1546.71,3,Urban,1,105670.95,63937.57
M,45,5450.15,Low,Working,Managers,Semi-Urban,90135.08,394.08,N,N,3.0,726.12,0,Active,318,5450.15,4,Semi-Urban,1,148450.67,58587.8
M,55,1771.28,Low,Working,Sales staff,Semi-Urban,94623.16,544.7,N,Y,2.0,746.22,0,Unpossessed,649,1771.28,2,Semi-Urban,1,141086.76,61505.05
F,24,4792.41,Low,Commercial associate,Core staff,Semi-Urban,101029.98,759.74,N,N,3.0,672.84,0,Unpossessed,775,4792.41,2,Urban,1,190673.25,70720.99
F,38,4893.7,Low,Commercial associate,Laborers,Semi-Urban,118114.1,549.12,Y,Y,3.0,677.68,0,Active,664,4893.7,4,Semi-Urban,1,146822.51,76774.17
F,44,3521.79,Low,Commercial associate,Core staff,Semi-Urban,39015.7,191.14,Y,Y,2.0,792.88,1,Inactive,298,3521.79,1,Semi-Urban,1,64059.84,0.0
F,47,2617.85,Low,Working,Managers,Semi-Urban,111261.67,565.04,Y,Y,2.0,765.12,0,Unpossessed,972,2617.85,3,Rural,1,169588.14,83446.25
F,43,2489.3,Low,Working,Laborers,Semi-Urban,27096.81,125.28,N,Y,2.0,783.1,0,Inactive,855,2489.3,4,Rural,1,49191.41,21677.45
F,18,2521.32,Low,Working,High skill tech staff,Semi-Urban,74350.91,341.25,N,N,3.0,738.82,1,Inactive,935,2521.32,3,Rural,1,84642.36,48328.09
F,57,2985.08,Low,Working,Sales staff,Semi-Urban,350422.15,974.96,Y,Y,2.0,862.02,0,Unpossessed,694,2985.08,1,Semi-Urban,1,453851.09,262816.61
M,35,1319.87,Low,Working,Accountants,Semi-Urban,93188.67,539.94,N,N,3.0,738.89,0,Unpossessed,25,1319.87,3,Urban,1,118102.23,65232.07
F,26,1994.25,Low,Working,Laborers,Semi-Urban,82683.06,409.02,N,N,3.0,687.23,0,Unpossessed,865,1994.25,1,Semi-Urban,0,133924.02,0.0
F,21,3309.35,Low,State servant,Managers,Semi-Urban,14091.99,150.34,Y,Y,2.0,672.17,0,Unpossessed,368,3309.35,4,Semi-Urban,1,21794.36,9864.39
F,21,4292.11,Low,Working,Laborers,Urban,126396.46,685.85,Y,N,2.0,809.91,0,Unpossessed,787,4292.11,2,Semi-Urban,1,152091.83,88477.52
M,26,1739.39,Low,Working,Laborers,Semi-Urban,41548.24,192.51,Y,Y,2.0,709.75,0,Active,909,1739.39,4,Rural,0,49238.78,0.0
M,39,2379.89,Low,Working,Drivers,Semi-Urban,8292.7,99.19,N,Y,2.0,637.72,0,Unpossessed,398,2379.89,1,Urban,1,12107.13,0.0
F,58,1565.69,Low,Working,Laborers,Rural,20284.94,179.39,N,N,1.0,660.75,1,Unpossessed,955,1565.69,4,Semi-Urban,1,37516.71,13185.21
M,37,1365.07,Low,Working,Drivers,Semi-Urban,86565.29,258.75,Y,Y,2.0,738.03,0,Active,518,1365.07,1,Semi-Urban,1,106744.01,0.0
F,34,1157.85,Low,Working,Cleaning staff,Rural,9458.35,103.3,N,N,2.0,761.43,0,Inactive,880,1157.85,4,Semi-Urban,1,17653.62,6620.84
M,18,1428.62,Low,Working,Core staff,Semi-Urban,16988.66,114.42,N,Y,1.0,647.83,1,Inactive,280,1428.62,1,Rural,0,27357.94,0.0
F,56,2150.9,Low,Commercial associate,Core staff,Semi-Urban,162177.92,466.9,N,N,2.0,718.15,0,Unpossessed,6,2150.9,2,Rural,0,276148.29,0.0
F,18,1856.92,Low,Working,Sales staff,Semi-Urban,195826.46,560.97,Y,N,3.0,742.09,1,Inactive,654,1856.92,3,Rural,0,279725.63,0.0
F,48,1695.09,Low,Working,Sales staff,Semi-Urban,35060.59,141.24,N,N,1.0,768.27,0,Unpossessed,737,1695.09,2,Semi-Urban,0,59975.09,0.0
F,26,3494.91,Low,Working,Managers,Urban,126313.07,547.29,N,Y,1.0,869.67,0,Active,88,3494.91,1,Semi-Urban,1,181415.58,88419.15
M,18,3028.32,Low,Working,Accountants,Rural,80942.9,400.31,N,Y,2.0,687.49,0,Active,710,3028.32,1,Rural,0,141616.77,0.0
F,61,2322.9,Low,State servant,Core staff,Semi-Urban,82564.64,627.37,N,Y,2.0,717.71,0,Inactive,910,2322.9,4,Semi-Urban,1,97456.49,53667.02
M,45,2317.95,Low,Working,Laborers,Semi-Urban,92549.84,512.87,N,Y,2.0,831.06,0,Unpossessed,433,2317.95,4,Urban,1,136758.7,64784.89
F,36,2464.22,Low,Working,Laborers,Semi-Urban,65108.17,329.89,N,Y,2.0,731.89,0,Active,587,2464.22,3,Rural,1,87793.02,45575.72
M,53,3479.24,Low,Working,Managers,Semi-Urban,192307.99,791.84,Y,N,3.0,684.45,0,Active,766,3479.24,3,Semi-Urban,0,235913.95,0.0
M,38,2009.73,Low,Working,Laborers,Semi-Urban,65554.07,425.86,N,N,1.0,616.05,0,Inactive,98,2009.73,3,Urban,1,107815.09,0.0
M,40,1551.3,Low,Working,Private service staff,Semi-Urban,113429.34,455.17,N,Y,2.0,731.53,0,Active,204,1551.3,3,Rural,1,136035.89,79400.54
M,18,2328.84,Low,Working,Medicine staff,Rural,50296.06,285.04,N,Y,2.0,635.28,0,Inactive,883,2328.84,2,Urban,0,76400.5,0.0
M,43,2348.66,Low,Commercial associate,Drivers,Urban,112804.23,414.57,N,Y,3.0,712.5,0,Inactive,698,2348.66,4,Urban,1,197232.49,0.0
F,18,4132.94,Low,Working,Laborers,Semi-Urban,41650.56,167.0,Y,Y,1.0,824.36,0,Active,744,4132.94,4,Semi-Urban,1,61651.83,31237.92
M,32,2740.04,Low,Working,Sales staff,Semi-Urban,85663.7,384.52,N,N,3.0,700.79,0,Inactive,82,2740.04,2,Urban,1,129817.54,55681.4
F,53,3150.66,Low,Commercial associate,High skill tech staff,Semi-Urban,172969.58,462.31,N,Y,1.0,680.47,0,Unpossessed,220,3150.66,3,Semi-Urban,1,242398.0,112430.23
M,23,1796.29,Low,Working,Core staff,Semi-Urban,211177.18,561.44,N,N,5.0,662.28,0,Inactive,234,1796.29,3,Urban,1,315166.72,137265.17
F,49,1269.87,Low,Working,Sales staff,Semi-Urban,23427.55,204.48,Y,Y,1.0,674.08,0,Inactive,100,1269.87,2,Semi-Urban,1,26743.45,15227.91
M,23,1874.51,Low,Working,Sales staff,Semi-Urban,58601.27,315.96,N,N,3.0,827.01,0,Unpossessed,332,1874.51,3,Semi-Urban,1,85125.5,41020.89
F,47,3605.48,Low,Working,Drivers,Semi-Urban,104271.49,626.53,Y,Y,2.0,683.01,0,Active,848,3605.48,2,Semi-Urban,1,141480.68,67776.47
F,41,2007.84,Low,Working,High skill tech staff,Semi-Urban,153107.31,656.19,N,Y,2.0,818.69,0,Inactive,428,2007.84,3,Urban,1,251117.33,122485.85
F,18,2058.58,Low,State servant,Managers,Semi-Urban,218108.47,602.34,Y,Y,3.0,791.17,0,Unpossessed,98,2058.58,3,Urban,1,355348.51,174486.78
F,60,1564.03,Low,Working,Sales staff,Semi-Urban,67491.22,356.9,N,Y,2.0,756.62,0,Inactive,108,1564.03,3,Semi-Urban,1,121665.44,0.0
F,30,1617.32,Low,Working,Laborers,Semi-Urban,42594.32,319.15,N,Y,3.0,863.34,0,Inactive,797,1617.32,2,Semi-Urban,1,63853.33,31945.74
M,62,2876.1,Low,Working,Sales staff,Semi-Urban,99169.45,608.68,N,N,1.0,777.09,0,Inactive,87,2876.1,1,Semi-Urban,1,127811.87,74377.09
M,18,4411.4,Low,Working,Drivers,Urban,204944.19,849.67,Y,Y,3.0,737.36,0,Inactive,567,4411.4,3,Rural,1,276716.2,0.0
M,43,1300.18,Low,Working,Laborers,Semi-Urban,20484.41,125.76,N,N,2.0,615.65,1,Inactive,14,1300.18,4,Rural,0,24473.45,0.0
M,18,1300.67,Low,Working,Core staff,Semi-Urban,62610.25,493.24,Y,Y,4.0,599.65,0,Unpossessed,503,1300.67,3,Rural,1,86949.55,0.0
F,58,1844.36,Low,Working,Sales staff,Semi-Urban,42481.85,350.96,N,Y,3.0,817.62,1,Unpossessed,531,1844.36,4,Semi-Urban,0,47805.93,0.0
M,25,1852.48,Low,Working,Drivers,Semi-Urban,77451.21,398.27,Y,N,1.0,615.14,0,Unpossessed,81,1852.48,2,Rural,1,125846.05,0.0
M,30,2880.59,Low,Commercial associate,Drivers,Semi-Urban,102820.09,485.86,Y,Y,2.0,653.61,0,Active,700,2880.59,3,Urban,1,152817.61,66833.06
F,18,4530.06,Low,Commercial associate,High skill tech staff,Urban,35202.55,347.46,N,Y,4.0,734.91,0,Unpossessed,826,4530.06,4,Semi-Urban,1,43931.16,22881.66
M,46,2582.24,Low,Working,Managers,Semi-Urban,47376.97,246.82,N,Y,3.0,738.37,0,Inactive,596,2582.24,4,Semi-Urban,1,66167.7,30795.03
F,51,3209.3,Low,Working,Core staff,Semi-Urban,201087.34,642.51,Y,Y,3.0,819.63,1,Unpossessed,364,3209.3,2,Urban,1,276734.27,140761.14
F,52,2848.22,Low,Working,Laborers,Semi-Urban,181880.51,688.81,Y,N,4.0,680.0,0,Unpossessed,242,2848.22,4,Semi-Urban,1,238040.11,118222.33
F,47,1956.47,Low,Working,Cleaning staff,Semi-Urban,85832.38,235.76,N,Y,2.0,692.64,0,Inactive,484,1956.47,1,Semi-Urban,0,162350.43,0.0
M,27,2633.08,Low,State servant,Core staff,Semi-Urban,82616.14,384.96,N,Y,4.0,708.2,1,Inactive,909,2633.08,4,Rural,1,122158.07,53700.49
F,56,2661.05,Low,Working,Sales staff,Semi-Urban,113410.84,887.9,N,N,4.0,779.31,0,Unpossessed,361,2661.05,2,Urban,1,151421.78,90728.67
M,18,3077.07,Low,Working,High skill tech staff,Semi-Urban,68386.64,668.41,Y,Y,4.0,844.4,0,Active,457,3077.07,2,Rural,0,105223.19,0.0
M,63,2206.08,Low,Working,Core staff,Semi-Urban,117104.1,506.69,N,Y,1.0,796.72,0,Unpossessed,545,2206.08,2,Rural,1,195606.39,81972.87
F,54,1538.53,Low,Working,Laborers,Semi-Urban,38859.57,202.44,N,Y,1.0,781.93,0,Active,814,1538.53,2,Rural,1,45396.65,27201.7
F,64,1565.04,Low,Working,Sales staff,Urban,158483.98,611.26,N,Y,2.0,844.23,0,Unpossessed,44,1565.04,1,Urban,1,225166.97,0.0
F,35,1775.29,Low,Working,Drivers,Semi-Urban,65804.74,404.34,N,Y,1.0,721.82,0,Active,738,1775.29,1,Urban,0,104976.82,0.0
M,35,2170.67,Low,Working,Drivers,Semi-Urban,36015.97,433.92,Y,N,3.0,637.49,1,Active,143,2170.67,4,Semi-Urban,0,57303.31,0.0
M,56,2846.24,Low,Working,Security staff,Semi-Urban,59165.27,373.41,N,Y,2.0,820.28,1,Inactive,148,2846.24,1,Urban,1,72064.23,41415.69
M,23,2617.99,Low,Working,Sales staff,Semi-Urban,56789.73,155.06,N,Y,1.0,813.59,0,Inactive,664,2617.99,4,Semi-Urban,1,73171.09,45431.78
F,42,904.35,Low,Working,Accountants,Semi-Urban,169730.42,665.68,Y,Y,3.0,733.94,0,Inactive,516,904.35,1,Urban,1,212657.6,118811.29
M,46,4150.99,Low,Commercial associate,Managers,Urban,186001.65,798.76,N,Y,1.0,667.23,1,Inactive,283,4150.99,4,Urban,1,308263.89,130201.15
F,38,1037.0,Low,Working,Security staff,Semi-Urban,25715.33,138.98,Y,Y,2.0,683.51,1,Active,623,1037.0,2,Rural,0,31438.99,0.0
M,18,1578.81,Low,Commercial associate,Sales staff,Semi-Urban,94953.33,381.23,N,Y,2.0,816.54,0,Unpossessed,392,1578.81,1,Semi-Urban,1,157716.68,75962.66
M,41,6989.49,Low,Working,Cooking staff,Semi-Urban,47448.3,314.9,Y,Y,1.0,667.9,1,Active,302,6989.49,4,Rural,1,54577.18,33213.81
M,21,2035.56,Low,Commercial associate,Accountants,Semi-Urban,84781.1,490.48,N,N,2.0,677.73,0,Unpossessed,335,2035.56,2,Urban,1,116875.07,59346.77
F,18,1709.11,Low,Commercial associate,Drivers,Semi-Urban,18832.83,76.88,N,Y,2.0,664.04,0,Active,163,1709.11,3,Semi-Urban,1,23374.19,12241.34
F,45,1228.89,Low,State servant,High skill tech staff,Semi-Urban,21214.54,95.86,N,Y,2.0,808.18,0,Inactive,920,1228.89,2,Semi-Urban,1,40121.1,16971.63
M,49,4355.3,Low,State servant,Core staff,Semi-Urban,199370.22,559.64,N,Y,3.0,825.9,0,Active,304,4355.3,3,Rural,0,369969.54,0.0
F,41,3253.31,Low,Working,Managers,Rural,70079.03,520.66,N,N,4.0,769.09,0,Inactive,520,3253.31,2,Semi-Urban,1,129903.98,52559.27
F,30,3325.77,Low,Working,Drivers,Semi-Urban,176587.23,501.05,Y,Y,3.0,651.13,0,Inactive,828,3325.77,3,Rural,0,232279.45,0.0
M,52,921.98,Low,Working,Sales staff,Semi-Urban,55943.92,309.02,N,N,1.0,687.86,0,Inactive,856,921.98,2,Urban,1,75846.03,39160.74
M,34,2799.68,Low,Working,Security staff,Semi-Urban,16722.58,141.16,Y,Y,3.0,826.65,0,Unpossessed,180,2799.68,2,Rural,1,28013.53,11705.81
M,29,1718.61,Low,Working,Medicine staff,Rural,79694.75,271.74,N,Y,1.0,744.7,0,Inactive,944,1718.61,3,Rural,1,105754.5,0.0
M,50,2301.31,Low,Working,High skill tech staff,Semi-Urban,132971.9,441.37,N,Y,2.0,835.5,0,Inactive,870,2301.31,4,Semi-Urban,1,202680.04,106377.52
F,20,2869.77,Low,Working,Laborers,Semi-Urban,89391.22,374.94,Y,Y,3.0,671.9,0,Unpossessed,580,2869.77,1,Rural,1,108976.66,0.0
M,37,1312.9,Low,Working,Sales staff,Semi-Urban,23285.16,234.66,N,N,2.0,692.69,0,Active,634,1312.9,2,Rural,1,41975.39,16299.61
M,18,1400.44,Low,Working,Laborers,Rural,51224.29,505.51,Y,Y,2.0,618.99,0,Unpossessed,761,1400.44,1,Urban,1,70319.76,0.0
F,64,1576.37,Low,Working,Sales staff,Semi-Urban,19229.78,219.19,N,Y,2.0,711.24,1,Active,899,1576.37,1,Urban,1,28135.71,13460.85
M,18,1885.6,Low,Working,Managers,Rural,37558.48,195.49,Y,Y,3.0,745.73,1,Active,177,1885.6,2,Rural,1,45796.31,26290.94
M,20,2729.5,Low,Commercial associate,Laborers,Semi-Urban,57011.37,317.92,Y,Y,3.0,689.62,0,Inactive,162,2729.5,2,Rural,1,99222.45,37057.39
M,54,1596.0,Low,Working,Sales staff,Semi-Urban,63484.26,452.51,Y,Y,3.0,759.18,0,Unpossessed,990,1596.0,2,Semi-Urban,1,79678.64,50787.41
F,25,2681.18,Low,Working,Security staff,Rural,59155.81,285.1,Y,Y,2.0,680.36,1,Inactive,744,2681.18,4,Semi-Urban,1,87627.58,0.0
F,18,1718.12,Low,Commercial associate,Accountants,Semi-Urban,61130.5,269.17,N,Y,1.0,708.42,1,Inactive,104,1718.12,4,Urban,1,102840.78,0.0
F,18,1734.36,Low,Working,Core staff,Semi-Urban,14405.47,154.76,N,Y,4.0,780.76,1,Active,284,1734.36,3,Semi-Urban,1,18224.95,10804.1
F,18,1758.23,Low,Commercial associate,Managers,Semi-Urban,37406.0,441.04,Y,N,3.0,816.33,0,Unpossessed,77,1758.23,3,Urban,1,59958.51,26184.2
F,49,2030.18,Low,Commercial associate,Sales staff,Semi-Urban,36344.4,430.16,N,Y,2.0,700.59,0,Unpossessed,928,2030.18,4,Rural,1,63226.87,25441.08
M,46,2479.59,Low,Working,Sales staff,Semi-Urban,67472.25,294.06,Y,N,3.0,649.36,0,Unpossessed,173,2479.59,1,Urban,1,80477.3,0.0
F,60,3098.23,Low,Working,Laborers,Rural,91093.65,450.41,N,Y,2.0,802.34,0,Unpossessed,849,3098.23,2,Semi-Urban,1,119685.18,68320.24
M,20,2262.63,Low,Working,Laborers,Rural,113388.34,412.97,N,N,2.0,701.88,1,Active,223,2262.63,1,Rural,1,195051.21,79371.84
M,52,1839.1,Low,Commercial associate,Sales staff,Semi-Urban,109867.05,307.09,N,N,4.0,705.14,0,Active,444,1839.1,1,Rural,1,192255.56,76906.94
F,18,1967.79,Low,Commercial associate,Drivers,Semi-Urban,68230.5,694.93,Y,Y,2.0,860.32,0,Active,181,1967.79,4,Rural,1,108353.32,47761.35
M,28,1237.55,Low,Working,Medicine staff,Semi-Urban,88408.08,284.75,N,Y,2.0,773.16,0,Unpossessed,718,1237.55,2,Urban,1,122559.52,66306.06
F,18,1098.07,Low,Working,Sales staff,Semi-Urban,30701.21,249.84,Y,Y,3.0,707.96,0,Active,369,1098.07,1,Semi-Urban,0,44540.46,0.0
F,21,2329.57,Low,Working,Sales staff,Semi-Urban,125877.48,336.99,Y,Y,2.0,832.59,1,Unpossessed,960,2329.57,1,Urban,1,186710.97,100701.98
F,31,783.57,Low,Working,Cleaning staff,Semi-Urban,40313.65,282.5,N,Y,2.0,804.44,1,Inactive,723,783.57,2,Rural,1,75546.65,30235.24
M,44,2531.44,Low,Working,Security staff,Semi-Urban,25760.11,289.63,N,N,2.0,812.44,0,Active,663,2531.44,1,Urban,0,36901.08,0.0
F,44,1744.66,Low,Working,Waiters/barmen staff,Semi-Urban,33328.62,179.16,N,Y,1.0,819.24,0,Active,980,1744.66,3,Urban,1,38045.93,23330.03
M,51,3494.69,Low,Commercial associate,Laborers,Urban,68925.34,313.48,N,N,2.0,866.67,0,Inactive,34,3494.69,1,Semi-Urban,0,97793.42,62032.81
F,39,1146.39,Low,Working,Core staff,Rural,39236.34,255.37,N,Y,2.0,709.01,0,Unpossessed,927,1146.39,4,Rural,1,51677.95,27465.44
F,23,6598.94,Low,Commercial associate,Managers,Urban,162366.77,883.26,Y,Y,2.0,783.28,0,Active,742,6598.94,4,Rural,1,234831.44,129893.42
F,52,2708.25,Low,Working,Sales staff,Semi-Urban,70124.94,522.95,N,Y,3.0,743.53,0,Inactive,724,2708.25,3,Urban,1,92156.12,45581.21
F,30,2230.72,Low,Working,Sales staff,Semi-Urban,32691.82,374.88,Y,Y,1.0,603.5,1,Inactive,867,2230.72,1,Urban,1,61956.19,0.0
M,33,5927.52,Low,Commercial associate,Drivers,Urban,22852.98,254.46,Y,N,2.0,856.64,0,Inactive,638,5927.52,4,Rural,1,40562.6,18282.38
M,25,2462.93,Low,Working,Drivers,Semi-Urban,92416.01,394.21,N,N,1.0,669.62,0,Inactive,757,2462.93,3,Rural,1,144705.25,64691.21
F,44,1002.29,Low,Working,Cleaning staff,Rural,6846.61,78.35,N,Y,4.0,714.54,0,Unpossessed,922,1002.29,2,Semi-Urban,1,10684.9,4792.63
F,18,5480.05,Low,Working,Managers,Semi-Urban,113663.3,678.42,Y,Y,1.0,760.63,1,Unpossessed,298,5480.05,1,Semi-Urban,1,153728.27,90930.64
F,18,2849.55,Low,Working,High skill tech staff,Semi-Urban,53362.34,149.93,N,Y,1.0,860.75,1,Unpossessed,282,2849.55,1,Rural,1,97446.22,53362.34
M,34,2698.24,Low,Commercial associate,Accountants,Semi-Urban,229300.69,763.2,Y,Y,2.0,786.45,0,Active,518,2698.24,1,Semi-Urban,1,335596.05,183440.55
M,35,2537.51,Low,Working,Accountants,Semi-Urban,71954.63,386.65,N,Y,2.0,723.56,1,Unpossessed,396,2537.51,2,Semi-Urban,1,103358.75,46770.51
M,61,3599.2,Low,Commercial associate,Laborers,Semi-Urban,103265.15,373.09,N,Y,2.0,732.15,0,Active,946,3599.2,1,Rural,0,173868.68,0.0
F,48,2557.38,Low,Working,High skill tech staff,Semi-Urban,19412.72,160.58,Y,N,1.0,682.2,1,Active,345,2557.38,2,Semi-Urban,1,33768.33,12618.27
M,18,4850.07,Low,Working,Managers,Semi-Urban,283081.95,925.78,N,N,2.0,839.62,0,Active,653,4850.07,1,Urban,1,454947.51,226465.56
F,28,2608.81,Low,Commercial associate,Core staff,Semi-Urban,124097.65,-999.0,N,Y,2.0,760.41,0,Unpossessed,598,2608.81,2,Semi-Urban,1,177618.7,93073.24
F,61,1585.67,Low,Commercial associate,Sales staff,Semi-Urban,93900.17,394.33,Y,Y,2.0,785.69,0,Active,729,1585.67,1,Semi-Urban,1,177163.51,70425.13
M,25,740.82,Low,Working,Sales staff,Semi-Urban,18693.54,141.99,N,Y,3.0,687.8,1,Active,172,740.82,2,Urban,1,22651.7,13085.48
M,61,1825.88,Low,State servant,Managers,Urban,225327.18,711.64,Y,Y,2.0,781.28,0,Inactive,875,1825.88,2,Semi-Urban,0,425875.15,0.0
M,54,2154.92,Low,Commercial associate,Sales staff,Semi-Urban,144424.2,673.88,Y,Y,2.0,678.31,0,Unpossessed,837,2154.92,1,Semi-Urban,1,236717.05,101096.94
M,18,1616.89,Low,Working,Drivers,Semi-Urban,80167.95,429.57,Y,Y,2.0,718.37,0,Active,55,1616.89,1,Rural,1,130623.48,56117.56
M,18,6928.0,Low,Commercial associate,Drivers,Urban,165769.78,481.94,Y,Y,2.0,855.34,0,Active,195,6928.0,1,Rural,1,278653.72,124327.34
M,22,1271.57,Low,Working,Sales staff,Semi-Urban,177025.83,587.94,N,N,2.0,667.45,1,Active,59,1271.57,3,Rural,1,282763.9,123918.08
F,27,2591.75,Low,State servant,Core staff,Semi-Urban,111437.19,692.62,Y,Y,3.0,751.3,0,Active,627,2591.75,4,Semi-Urban,0,150887.39,0.0
M,48,2470.13,Low,State servant,Core staff,Rural,149124.04,797.62,Y,Y,3.0,604.88,0,Inactive,667,2470.13,1,Urban,1,179917.25,0.0
M,46,1882.66,Low,Commercial associate,Managers,Semi-Urban,37608.1,257.6,Y,Y,2.0,843.4,0,Active,792,1882.66,4,Rural,0,68514.65,0.0
F,23,1849.9,Low,Working,Accountants,Semi-Urban,132738.68,564.62,Y,Y,2.0,796.67,0,Unpossessed,980,1849.9,3,Urban,1,197277.83,0.0
F,62,3288.16,Low,Working,Managers,Semi-Urban,125252.02,353.99,Y,N,2.0,820.75,0,Unpossessed,555,3288.16,2,Urban,1,215978.86,100201.62
F,18,1274.74,Low,Working,High skill tech staff,Semi-Urban,32582.68,162.52,N,Y,2.0,728.16,0,Active,956,1274.74,2,Semi-Urban,1,61023.74,22807.88
M,59,3325.19,Low,Working,Medicine staff,Semi-Urban,196234.12,649.34,N,N,2.0,708.88,1,Inactive,422,3325.19,2,Rural,1,344334.59,0.0
F,31,2730.39,Low,Commercial associate,Security staff,Semi-Urban,39205.11,232.65,Y,N,2.0,757.33,0,Unpossessed,66,2730.39,3,Rural,1,66651.0,31364.09
M,18,3056.01,Low,Working,Core staff,Semi-Urban,36267.27,173.71,Y,N,1.0,819.33,0,Inactive,8,3056.01,4,Rural,1,46061.64,0.0
F,20,3525.78,Low,Working,Managers,Semi-Urban,162815.16,845.23,Y,Y,2.0,744.52,0,Active,262,3525.78,4,Urban,1,229942.28,105829.85
M,25,5660.68,Low,Commercial associate,Core staff,Urban,272965.68,931.86,N,N,3.0,857.08,0,Active,365,5660.68,3,Semi-Urban,1,412563.63,232020.83
F,31,1777.84,Low,Working,Laborers,Semi-Urban,54616.47,275.83,N,N,2.0,600.9,1,Active,287,1777.84,4,Rural,0,69328.86,0.0
F,59,2223.2,Low,Commercial associate,Managers,Rural,46994.65,252.43,N,Y,3.0,836.47,1,Active,947,2223.2,4,Urban,1,67064.41,-999.0
F,60,2534.41,Low,Working,Laborers,Semi-Urban,43159.69,349.29,N,Y,2.0,811.45,1,Unpossessed,358,2534.41,3,Urban,1,56977.2,32369.77
M,22,6361.96,Low,Working,Laborers,Semi-Urban,104721.69,507.84,Y,Y,4.0,727.05,0,Inactive,759,6361.96,1,Semi-Urban,1,125358.56,73305.18
F,18,3674.62,Low,State servant,Laborers,Rural,89048.48,418.8,N,N,1.0,783.0,0,Unpossessed,788,3674.62,2,Semi-Urban,1,163936.56,66786.36
F,53,1386.32,Low,Working,Laborers,Semi-Urban,32750.17,395.36,Y,N,1.0,599.96,0,Unpossessed,459,1386.32,1,Semi-Urban,0,37515.9,0.0
M,26,1735.26,Low,Working,Laborers,Semi-Urban,54732.28,205.78,N,N,2.0,757.92,0,Inactive,597,1735.26,4,Urban,1,74439.36,41049.21
M,18,1640.09,Low,Working,Sales staff,Rural,40007.02,-999.0,N,Y,1.0,745.39,0,Active,632,1640.09,3,Urban,1,51311.51,-999.0
F,42,2844.41,Low,Commercial associate,Low-skill Laborers,Semi-Urban,61848.59,652.18,Y,N,3.0,743.38,0,Active,604,2844.41,1,Semi-Urban,1,86161.31,40201.58
F,61,3982.13,Low,Working,High skill tech staff,Urban,224357.09,739.45,Y,Y,1.0,690.88,1,Inactive,426,3982.13,1,Urban,1,393598.85,145832.11
M,34,2235.39,Low,Commercial associate,Cooking staff,Rural,92202.49,650.47,N,Y,1.0,796.63,0,Unpossessed,498,2235.39,2,Semi-Urban,1,143979.23,64541.74
F,22,2098.07,Low,Working,Sales staff,Semi-Urban,51123.26,296.57,Y,N,1.0,602.35,0,Unpossessed,241,2098.07,4,Rural,0,63748.12,0.0
M,21,1129.66,Low,State servant,Core staff,Semi-Urban,69207.01,533.99,N,N,2.0,636.62,0,Unpossessed,487,1129.66,2,Semi-Urban,0,80698.85,0.0
F,45,1888.51,Low,Working,Sales staff,Semi-Urban,91734.3,544.05,N,Y,5.0,729.44,0,Inactive,252,1888.51,1,Urban,1,122724.33,59627.3
M,64,3638.1,Low,Working,Medicine staff,Semi-Urban,258056.98,948.75,Y,Y,2.0,719.95,0,Unpossessed,124,3638.1,3,Rural,1,340906.96,167737.04
M,18,4873.44,Low,Working,Managers,Rural,70390.25,870.51,Y,Y,3.0,705.91,0,Active,124,4873.44,3,Rural,0,82490.83,0.0
M,64,2125.8,Low,Working,Laborers,Semi-Urban,190815.1,548.57,Y,Y,4.0,633.44,0,Unpossessed,260,2125.8,2,Semi-Urban,1,306842.83,0.0
F,28,2457.89,Low,Commercial associate,Sales staff,Semi-Urban,70032.56,552.93,N,Y,2.0,785.16,0,Unpossessed,563,2457.89,2,Rural,1,121840.35,52524.42
F,32,1614.42,Low,Working,High skill tech staff,Semi-Urban,24115.77,113.1,N,Y,3.0,760.75,0,Active,933,1614.42,2,Rural,1,32516.68,18086.83
F,26,2231.8,Low,Working,Accountants,Semi-Urban,142411.28,481.78,N,Y,4.0,650.99,1,Inactive,202,2231.8,4,Urban,1,231377.1,0.0
F,62,1619.72,Low,Commercial associate,Sales staff,Rural,21434.34,128.14,N,Y,2.0,651.32,1,Inactive,352,1619.72,1,Rural,1,35366.05,15004.04
M,30,1547.61,Low,State servant,Security staff,Semi-Urban,65692.57,308.72,N,N,1.0,733.67,0,Unpossessed,785,1547.61,1,Urban,1,102870.79,45984.8
M,55,1841.53,Low,Working,Security staff,Semi-Urban,86732.14,445.69,Y,Y,4.0,815.12,0,Unpossessed,487,1841.53,2,Semi-Urban,1,117047.36,65049.1
